Sample.me,ImmGen.Nomenclature,Cell.Family,Organ,Sorting.Markers,Organism.Treatment,Lab,Note,Cell.Treatment,Genetic.Variation,sample_id,Well,Owner,Batch_Number,Total_read_pairs,Uniquely_mapped_pairs,Uniquely_mapped_pct,Num_genes_over_ten,Num_genes_over_zero,TIN_mean,TIN_median,TIN_stdev,Reason
MF.64+LYVE+II-.Ao#1,MF.64+LYVE+II-.Ao#1,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_D01,D01,Veronique Angeli,Batch36,10446815,6805895,65.15,10362,17980,54.39784885,56.29868966,20.75891182,
MF.64+LYVE+II-.Ao#2,MF.64+LYVE+II-.Ao#2,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_E01,E01,Veronique Angeli,Batch36,14164158,9311478,65.74,11033,20387,56.33910546,59.045267,20.38385333,
MF.64+LYVE+II-.Ao#3,MF.64+LYVE+II-.Ao#3,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_F01,F01,Veronique Angeli,Batch36,16476711,11141380,67.62,11468,22811,59.65844897,62.99399939,19.31578813,
MF.64+LYVE+II+.Ao#1,MF.64+LYVE+II+.Ao#1,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_A01,A01,Veronique Angeli,Batch36,9138066,6240250,68.29,10207,19954,53.84368476,57.00379205,20.54549562,
MF.64+LYVE+II+.Ao#2,MF.64+LYVE+II+.Ao#2,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_B01,B01,Veronique Angeli,Batch36,15817683,10723247,67.79,11281,20527,59.21587064,63.04587143,19.40594378,
MF.64+LYVE+II+.Ao#3,MF.64+LYVE+II+.Ao#3,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_C01,C01,Veronique Angeli,Batch36,17673436,12275195,69.46,11788,20875,61.76344602,65.76866224,18.42727392,
MF.64+LYVE-II+.Ao#1,MF.64+LYVE-II+.Ao#1,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_G01,G01,Veronique Angeli,Batch36,11410842,7906542,69.29,11067,20031,57.07462729,60.12847848,19.57108149,
MF.64+LYVE-II+.Ao#2,MF.64+LYVE-II+.Ao#2,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_H01,H01,Veronique Angeli,Batch36,8551711,5569635,65.13,9946,18933,48.87251317,49.38904972,21.80443401,
MF.64+LYVE-II+.Ao#3,MF.64+LYVE-II+.Ao#3,Macrophage,Aorta,"CD45	CD11b	CD64	MerTK	LYVE-1	MHCII	Dump channel",none,Angeli,none,none,none,000008544769_A02,A02,Veronique Angeli,Batch36,14384263,9933780,69.06,11601,20939,59.72519672,63.43437151,18.73221903,
MF.PC#7,MF.PC#44,Macrophage,Peritoneal Cavity,"F4/80	 ICAM2",none,Angeli,none,none,none,000008544769_B02,B02,Veronique Angeli,Batch36,14580083,9323097,63.94,10576,18104,55.83234379,58.81563594,20.31559496,
